,Issue Id,Assignee_email,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
3068,79183841,,int_107,2021-02-16T11:18:58.976Z,2021-02-17T08:58:33.077Z,0,0.0
3069,79177785,int_307,int_307,2021-02-16T10:53:19.515Z,2021-02-16T14:40:16.038Z,0,3600.0
3070,79177425,,int_107,2021-02-16T10:41:45.239Z,2021-02-16T11:14:50.137Z,0,0.0
3071,79176914,int_345,int_296,2021-02-16T10:38:17.783Z,2021-02-17T14:50:47.047Z,93600,93600.0
3072,79176522,int_353,int_353,2021-02-16T10:31:03.023Z,2021-02-17T15:33:19.044Z,57600,0.0
3073,79176418,int_338,int_468,2021-02-16T10:29:20.239Z,,0,0.0
3074,79175893,,int_46,2021-02-16T10:22:21.019Z,,0,0.0
3075,79175876,int_338,int_468,2021-02-16T10:21:58.942Z,,0,0.0
3076,80660105,,int_204,2021-02-16T10:10:00.482Z,2021-04-15T06:14:37.546Z,0,0.0
3077,79175096,int_351,int_387,2021-02-16T10:09:02.570Z,2021-02-28T13:00:08.285Z,144000,46800.0
3078,79174273,int_284,int_254,2021-02-16T09:57:49.768Z,2021-02-16T11:53:03.249Z,0,0.0
3079,79174219,int_397,int_61,2021-02-16T09:56:37.365Z,2021-02-16T14:10:22.563Z,0,21600.0
3080,79173291,int_464,int_423,2021-02-16T09:47:40.705Z,2021-02-21T09:37:27.563Z,43200,43200.0
3081,79173131,int_337,int_338,2021-02-16T09:45:37.243Z,2021-02-16T13:19:54.303Z,3600,1800.0
3082,79172485,,int_332,2021-02-16T09:36:36.799Z,,0,0.0
3083,79172424,int_291,int_291,2021-02-16T09:35:38.548Z,2021-02-16T11:37:59.023Z,0,0.0
3084,79172377,,int_332,2021-02-16T09:35:14.941Z,2021-03-07T11:53:20.405Z,0,0.0
3085,79172244,,int_332,2021-02-16T09:33:04.968Z,2021-03-07T11:51:09.719Z,0,0.0
3086,79172157,int_293,int_37,2021-02-16T09:32:06.405Z,2021-03-23T12:57:17.516Z,28800,14400.0
3087,79172133,,int_332,2021-02-16T09:31:47.984Z,2021-03-03T09:40:58.331Z,0,0.0
3088,79171790,int_418,int_418,2021-02-16T09:26:42.897Z,2021-02-17T15:05:18.268Z,28800,0.0
3089,79171127,int_462,int_462,2021-02-16T09:21:53.638Z,2021-02-16T10:02:53.942Z,1800,1800.0
3090,79171078,int_296,int_296,2021-02-16T09:21:12.868Z,2021-02-23T12:21:09.462Z,3600,3600.0
3091,79170463,int_307,int_307,2021-02-16T09:11:56.933Z,2021-03-11T12:05:11.719Z,0,0.0
3092,79170398,int_291,int_307,2021-02-16T09:11:26.373Z,2021-03-23T08:22:40.606Z,0,216600.0
3093,79168700,int_389,int_317,2021-02-16T08:46:10.372Z,2021-02-21T12:19:33.358Z,28800,18000.0
3094,79168512,,int_425,2021-02-16T08:43:22.090Z,2021-02-16T14:49:39.242Z,7200,0.0
3095,79168410,int_46,int_46,2021-02-16T08:42:19.432Z,2021-04-23T00:01:27.707Z,10800,10800.0
3096,79168156,int_352,int_91,2021-02-16T08:38:45.715Z,2021-02-21T15:09:03.508Z,10800,7200.0
3097,79167862,int_206,int_238,2021-02-16T08:34:30.487Z,2021-02-23T12:51:53.002Z,0,57600.0
3098,79167280,int_413,int_413,2021-02-16T08:25:36.989Z,2021-02-17T15:00:01.025Z,0,57600.0
3099,79167028,int_413,int_413,2021-02-16T08:22:45.179Z,2021-02-16T15:56:05.501Z,0,28800.0
3100,79166753,int_388,int_388,2021-02-16T08:18:48.565Z,2021-02-21T14:11:25.950Z,14400,10800.0
3101,79166729,int_338,int_468,2021-02-16T08:18:26.333Z,,0,0.0
3102,79166228,int_341,int_341,2021-02-16T08:12:39.201Z,2021-02-16T10:07:12.187Z,3600,2700.0
3103,79165784,int_307,int_307,2021-02-16T08:03:55.581Z,2021-02-16T14:43:41.311Z,0,5400.0
3104,79165754,,int_423,2021-02-16T08:03:12.671Z,,0,0.0
3105,79165189,int_310,int_310,2021-02-16T07:48:53.144Z,2021-02-22T13:46:27.962Z,0,0.0
3106,79164759,int_307,int_307,2021-02-16T07:36:28.410Z,2021-03-11T12:07:00.169Z,0,0.0
3107,79164674,int_294,int_294,2021-02-16T07:34:05.568Z,2021-02-22T12:46:37.637Z,3600,3600.0
3108,79164396,int_346,int_346,2021-02-16T07:26:33.855Z,2021-03-09T09:02:21.787Z,28800,28800.0
