,date_time_utc,event_id,recipient_address,recipient_status,sender_address
5102,2021-02-04T11:42:48.6810000Z,SETROUTE,ext_55;,,int_1
5103,2021-02-04T11:23:43.6850000Z,AGENTINFO,int_127;int_126;int_125;int_124;int_216;int_123;int_122;int_121;int_120;int_82;int_7;int_2;,,int_58
5104,2021-02-03T16:21:13.1430000Z,SETROUTE,ext_257;,,int_147
5105,2021-02-21T21:43:47.1450000Z,AGENTINFO,ext_251;ext_251;ext_251;,,int_231
5106,2021-02-09T13:39:22.4080000Z,CLIENTSUBMISSION,int_5;,,int_1
5107,2021-02-14T07:35:03.3080000Z,RECEIVE,int_74;,Unknown,int_1
5108,2021-02-02T10:06:08.6580000Z,SUBMIT,int_5;,,int_1
5109,2021-02-04T06:50:04.8390000Z,RECEIVE,ext_217;,Unknown,int_1
5110,2021-02-24T14:44:19.8500000Z,AGENTINFO,int_25;,,int_8
5111,2021-02-24T04:11:27.0780000Z,SETROUTE,ext_252;,,int_90
5112,2021-02-14T06:49:00.6690000Z,SETROUTE,ext_246;,,int_103
5113,2021-02-04T11:42:48.6810000Z,SETROUTE,ext_55;,,int_1
5114,2021-02-14T06:49:00.1340000Z,TRANSFER,ext_246;ext_246;ext_246;ext_246;,,int_103
5115,2021-02-02T13:34:06.2250000Z,RECEIVE,int_4;,,int_1
5116,2021-02-04T11:51:03.2520000Z,AGENTINFO,int_242;,,int_1
5117,2021-02-14T11:57:17.8320000Z,AGENTINFO,int_41;,,int_1
5118,2021-02-21T04:31:56.1130000Z,RECIPIENTINFO,int_59;int_143;int_200;,'UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40',int_88
5119,2021-02-14T12:12:26.2910000Z,SETROUTE,ext_117;,,int_79
5120,2021-02-04T11:23:44.1210000Z,DELIVER,int_120;,,int_58
5121,2021-02-14T14:21:38.1600000Z,AGENTINFO,int_87;int_87;int_83;int_110;,,int_11
5122,2021-02-03T16:21:12.2140000Z,TRANSFER,ext_257;ext_257;ext_257;ext_257;ext_257;ext_257;,,int_147
